,AvgRating,GameName,GameRank,GeekRating,ListPrice,NumVoters
0,"
			7.64		",Azul: Special Factories Promo,"
						N/A			
					","
			5.585		","]
					","
			51		"
1,"
			7.54		",Rajas of the Ganges: Snake Expansion,"
						N/A			
					","
			N/A		","]
					","
			23		"
2,"
			6.42		",Wildlands: The Thorns & the Roses,"
						N/A			
					","
			N/A		","]
					","
			12		"
3,"
			8.05		",Circadians: First Light,"
						N/A			
					","
			N/A		","]
					","
			8		"
4,"
			7.68		",Coimbra: Royal Treatment,"
						N/A			
					","
			5.557		","]
					","
			36		"
5,"
			8.16		",The Castles of Burgundy: 10th Expansion – Solo,"
						N/A			
					","
			5.565		","]
					","
			30		"
6,"
			7.81		",Teotihuacan: City of Gods – Brettspiel Adventskalender 2018 Promo,"
						N/A			
					","
			N/A		","]
					","
			16		"
7,"
			6.00		",Star Trek: Conflick in the Neutral Zone,"
						N/A			
					","
			N/A		","]
					","
			1		"
8,"
			8.12		",Gen7: The Breaking Point,"
						N/A			
					","
			N/A		","]
					","
			4		"
9,"
			3.15		",Men In Black/Ghostbusters: Ecto-terrestrial Invasion,"
						N/A			
					","
			N/A		","]
					","
			13		"
10,"
			7.31		",Great Western Trail: At the Poker Table,"
						N/A			
					","
			N/A		","]
					","
			24		"
11,"
			7.50		",Rajas of the Ganges: Tiger Expansion,"
						N/A			
					","
			N/A		","]
					","
			21		"
12,"
			5.40		",Scene It? Doctor Who,"
						N/A			
					","
			N/A		","]
					","
			10		"
13,"
			7.54		",Empires: Builder Expansion,"
						N/A			
					","
			6.014		","
			List: $39.99
		","
			425		"
14,"
			6.74		",A Game of Thrones: The Card Game – A Time of Trials,"
						N/A			
					","
			5.553		","
","
			49		"
15,"
			6.37		",Hawken: Real-Time Card Game,"
			5701			
					","
			5.623		","
","
			209		"
16,"
			6.70		",Gen7: A Crossroads Game,"
			5703			
					","
			5.623		","
","
			154		"
17,"
			6.11		",Murder of Crows,"
			5704			
					","
			5.623		","
			List: $12.95
		","
			391		"
18,"
			5.90		",Nature Fluxx,"
			5705			
					","
			5.623		","
														
													[","
			993		"
19,"
			7.18		",Sator Arepo Tenet Opera Rotas: Malleus Maleficarum,"
			5707			
					","
			5.623		","]
					","
			97		"
20,"
			7.09		",Second World War at Sea: SOPAC,"
			5708			
					","
			5.623		","]
					","
			116		"
21,"
			5.98		",Lord of the Rings,"
			5709			
					","
			5.623		","]
					","
			493		"
22,"
			8.12		",Manoeuvre: Distant Lands,"
			5710			
					","
			5.623		","
			List: $46.00
		","
			57		"
23,"
			6.74		",They Come Unseen,"
			5711			
					","
			5.623		","
			List: $49.95
		","
			163		"
24,"
			7.23		","Operation Jubilee: Dieppe, August 1942","
			5712			
					","
			5.623		","]
					","
			96		"
25,"
			6.71		",8 Masters' Revenge,"
			5713			
					","
			5.623		","]
					","
			145		"
26,"
			6.52		",Athens & Sparta,"
			5716			
					","
			5.623		","
			List: $89.56
		","
			186		"
27,"
			6.37		",Elevenses for One,"
			5717			
					","
			5.623		","]
					","
			228		"
28,"
			7.05		","Victory in the West: Plan Yellow, The French Campaign 1940","
			5720			
					","
			5.623		","]
					","
			113		"
29,"
			8.79		","Raiders of the Deep: U-boats of the Great War, 1914-18","
			5721			
					","
			5.623		","
","
			71		"
30,"
			6.63		",Prussia's Glory,"
			5725			
					","
			5.623		","]
					","
			155		"
31,"
			6.65		",Bastion,"
			5728			
					","
			5.622		","
			List: $16.34
		","
			168		"
32,"
			6.95		",Prospectus,"
			5729			
					","
			5.622		","
			List: $59.99
		","
			126		"
33,"
			6.29		",Upon a Fable,"
			5730			
					","
			5.622		","
","
			259		"
