"Index","AvgRating","GameName","GameRank","GeekRating","ListPrice","NumVoters"
0,7.64,"Azul: Special Factories Promo",NA,5.585,NA,51
1,7.54,"Rajas of the Ganges: Snake Expansion",NA,NA,NA,23
2,6.42,"Wildlands: The Thorns & the Roses",NA,NA,NA,12
3,8.05,"Circadians: First Light",NA,NA,NA,8
4,7.68,"Coimbra: Royal Treatment",NA,5.557,NA,36
5,8.16,"The Castles of Burgundy: 10th Expansion – Solo",NA,5.565,NA,30
6,7.81,"Teotihuacan: City of Gods – Brettspiel Adventskalender 2018 Promo",NA,NA,NA,16
7,6,"Star Trek: Conflick in the Neutral Zone",NA,NA,NA,1
8,8.12,"Gen7: The Breaking Point",NA,NA,NA,4
9,3.15,"Men In Black/Ghostbusters: Ecto-terrestrial Invasion",NA,NA,NA,13
10,7.31,"Great Western Trail: At the Poker Table",NA,NA,NA,24
11,7.5,"Rajas of the Ganges: Tiger Expansion",NA,NA,NA,21
12,5.4,"Scene It? Doctor Who",NA,NA,NA,10
13,7.54,"Empires: Builder Expansion",NA,6.014,39.99,425
14,6.74,"A Game of Thrones: The Card Game – A Time of Trials",NA,5.553,NA,49
15,6.37,"Hawken: Real-Time Card Game",5701,5.623,NA,209
16,6.7,"Gen7: A Crossroads Game",5703,5.623,NA,154
17,6.11,"Murder of Crows",5704,5.623,12.95,391
18,5.9,"Nature Fluxx",5705,5.623,NA,993
19,7.18,"Sator Arepo Tenet Opera Rotas: Malleus Maleficarum",5707,5.623,NA,97
20,7.09,"Second World War at Sea: SOPAC",5708,5.623,NA,116
21,5.98,"Lord of the Rings",5709,5.623,NA,493
22,8.12,"Manoeuvre: Distant Lands",5710,5.623,46,57
23,6.74,"They Come Unseen",5711,5.623,49.95,163
24,7.23,"Operation Jubilee: Dieppe, August 1942",5712,5.623,NA,96
25,6.71,"8 Masters' Revenge",5713,5.623,NA,145
26,6.52,"Athens & Sparta",5716,5.623,89.56,186
27,6.37,"Elevenses for One",5717,5.623,NA,228
28,7.05,"Victory in the West: Plan Yellow, The French Campaign 1940",5720,5.623,NA,113
29,8.79,"Raiders of the Deep: U-boats of the Great War, 1914-18",5721,5.623,NA,71
30,6.63,"Prussia's Glory",5725,5.623,NA,155
31,6.65,"Bastion",5728,5.622,16.34,168
32,6.95,"Prospectus",5729,5.622,59.99,126
33,6.29,"Upon a Fable",5730,5.622,NA,259
34,7.57,"Nova Aetas",5733,5.622,NA,101
35,7.75,"Canadian Crucible: Brigade Fortress at Norrey",5734,5.622,NA,77
36,6.6,"The Hobbit: The Desolation of Smaug",5735,5.622,NA,155
37,6.7,"Sky Galleons of Mars",5736,5.622,NA,157
38,7.03,"Iwo Jima: Rage Against the Marines",5737,5.622,NA,104
39,6.01,"Harry Potter Hogwarts",5742,5.622,NA,465
40,6.36,"Railroad Dice 2",5744,5.622,NA,191
